Substrate,Substrate_Concentration_mM,Temperature_C,Initial_pH,LG_Ratio,Phosphate_Concentration_mM,Sugar_Consumed_pct,Ethanol_mM,Acetate_mM,Butyrate_mM,1_2-PD_mM,Lactate_mM,H2_mM,OD600,Final_pH,Yield,1_2-PD_Yield_pct,Carbon_Balance_pct
D-Glucose,10.0,65.0,6.5,0.09,0.25,95.0,12.24,4.03,0.1,0.1,2.54,6.06,0.09,6.5,61.2,0.0,100.5
D-Glucose,10.0,65.0,6.5,0.09,0.5,97.9,12.5,4.11,0.1,0.1,3.21,6.26,0.09,6.4,62.5,0.0,102.4
D-Glucose,10.0,65.0,6.5,0.09,1.0,93.2,10.94,4.12,0.1,0.1,3.18,5.62,0.09,6.3,54.7,0.0,99.5
D-Glucose,10.0,65.0,6.5,0.09,5.0,95.0,10.89,4.16,0.1,0.1,3.31,6.93,0.1,6.3,54.4,0.0,97.9
D-Glucose,10.0,65.0,6.5,0.09,15.0,90.2,11.23,4.21,0.1,0.1,2.06,6.89,0.19,6.2,56.2,0.0,98.8
D-Glucose,10.0,65.0,6.5,0.09,25.0,61.0,5.92,3.48,0.1,0.1,2.14,4.48,0.27,6.0,29.6,0.0,97.3
L-Rhamnose,10.0,65.0,6.5,0.09,0.0,56.0,4.09,3.66,0.73,2.02,0.1,2.84,0.05,6.9,40.1,20.2,100.2
L-Rhamnose,10.0,65.0,6.5,0.09,0.01,61.2,3.61,3.12,1.18,1.91,0.1,2.43,0.06,6.9,36.1,19.1,90.1
L-Rhamnose,10.0,65.0,6.5,0.09,0.05,59.3,3.69,2.99,1.31,1.78,0.1,2.67,0.06,7.0,36.9,17.8,93.8
L-Rhamnose,10.0,65.0,6.5,0.09,0.1,54.2,3.46,2.82,1.23,1.56,0.1,2.06,0.06,6.9,34.6,15.6,95.4
L-Rhamnose,10.0,65.0,6.5,0.09,0.25,53.4,3.41,2.87,1.12,1.66,0.1,2.02,0.06,6.8,34.1,16.6,95.9
L-Rhamnose,10.0,65.0,6.5,0.09,0.5,57.1,3.58,3.56,0.91,2.19,0.1,2.56,0.05,6.8,35.8,21.9,97.8
L-Rhamnose,10.0,65.0,6.5,0.09,1.0,53.8,3.25,3.08,1.07,1.89,0.1,2.28,0.06,6.8,32.5,18.9,95.8
L-Rhamnose,10.0,65.0,6.5,0.09,5.0,53.0,3.38,3.01,0.99,1.84,0.1,2.07,0.06,6.7,33.8,18.4,96.3
L-Rhamnose,10.0,65.0,6.5,0.09,15.0,57.3,3.77,3.35,1.05,2.05,0.1,2.36,0.03,6.7,37.7,20.5,98.9
L-Rhamnose,10.0,65.0,6.5,0.09,25.0,43.4,2.7,2.22,1.06,1.28,0.1,1.96,0.22,6.8,27.0,12.8,96.7
